taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1161	Pseudoscorpiones	1161	Pseudoscorpiones	2	ORDER	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Pseudoscorpiones	1161							NE
2142610	Miagrammopes intempus Chickering, 1968	2142610	Miagrammopes intempus Chickering, 1968	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Uloboridae	3326	Miagrammopes	2142554	Miagrammopes intempus	2142610	NE
2156458	Dipoena duodecimpunctata Chickering, 1943	2156458	Dipoena duodecimpunctata Chickering, 1943	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theridiidae	9583	Dipoena	2156358	Dipoena duodecimpunctata	2156458	NE
2157893	Ariamnes attenuatus O.Pickard-Cambridge, 1881	2157893	Ariamnes attenuatus O.Pickard-Cambridge, 1881	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theridiidae	9583	Ariamnes	2157876	Ariamnes attenuatus	2157893	NE
2171329	Messua Peckham & Peckham, 1896	2171329	Messua Peckham & Peckham, 1896	13	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Salticidae	5644	Messua	2171329			
2179712	Actinopus Perty, 1833	2179712	Actinopus Perty, 1833	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Actinopodidae	7352	Actinopus	2179712			
10237910	BOLD:AAM0904	10237910	BOLD:AAM0904	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496							
10482838	BOLD:AAM0893	10482838	BOLD:AAM0893	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496							
2140425	Ischnothyreus Simon, 1892	2140425	Ischnothyreus Simon, 1892	2	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Oonopidae	6185	Ischnothyreus	2140425			NE
2153360	Senoculus iricolor (Simon, 1880)	2153360	Senoculus iricolor (Simon, 1880)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Senoculidae	5646	Senoculus	2153332	Senoculus iricolor	2153360	NE
