                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8334,                 4.9201,                 3.1898,                      0,                      0,                      0,                      0,                 2.0914,                 4.8295,                 2.4684,                      0,                      0,                      0
                      2,                 3.2331,                 4.7794,                 3.7036,                      0,                      0,                      0,                      0,                 2.0945,                 4.8351,                 2.4631,             5.2079e-06,             5.2079e-06,             5.2079e-06
                      3,                 3.0206,                  4.823,                 2.7589,                      0,                      0,                      0,                      0,                 2.1054,                 4.8256,                 2.4578,             1.0312e-05,             1.0312e-05,             1.0312e-05
                      4,                 3.0422,                 4.8772,                 4.2102,                      0,                      0,                      0,                      0,                 2.1078,                 4.8273,                 2.4541,             1.5311e-05,             1.5311e-05,             1.5311e-05
                      5,                 2.6889,                 4.8297,                 3.0981,                      0,                      0,                      0,                      0,                 2.0699,                  4.833,                 2.4392,             2.0207e-05,             2.0207e-05,             2.0207e-05
                      6,                 3.0423,                 4.7719,                 3.3531,                      0,                      0,                      0,                      0,                 2.0679,                 4.8363,                  2.435,             2.4998e-05,             2.4998e-05,             2.4998e-05
                      7,                 2.9279,                 4.8948,                 4.5213,                      0,                      0,                      0,                      0,                  2.064,                 4.8279,                  2.448,             2.9685e-05,             2.9685e-05,             2.9685e-05
                      8,                 3.6112,                 4.8169,                 4.2066,                      0,                      0,                      0,                      0,                 2.0828,                 4.8204,                 2.4481,             3.4268e-05,             3.4268e-05,             3.4268e-05
                      9,                 2.4652,                 4.8738,                 3.8177,                      0,                      0,                      0,                      0,                 2.0911,                 4.8239,                 2.4466,             3.8747e-05,             3.8747e-05,             3.8747e-05
                     10,                  3.075,                 4.9138,                 2.9107,                      0,                      0,                      0,                      0,                 2.1214,                 4.8106,                 2.4898,             4.3122e-05,             4.3122e-05,             4.3122e-05
                     11,                 3.3384,                 4.8298,                 3.0528,                      0,                      0,                      0,                      0,                 2.1382,                 4.8061,                 2.5218,             4.7393e-05,             4.7393e-05,             4.7393e-05
                     12,                 3.1192,                 4.7497,                  2.657,                      0,                      0,                      0,                      0,                 2.1556,                 4.7813,                 2.5758,             5.1559e-05,             5.1559e-05,             5.1559e-05
                     13,                  3.193,                  4.797,                 2.4804,                      0,                      0,                      0,                      0,                 2.1457,                 4.7568,                 2.6132,             5.5621e-05,             5.5621e-05,             5.5621e-05
                     14,                 1.8181,                 4.7179,                 2.6564,                      0,                      0,                      0,                      0,                 2.1447,                 4.7424,                 2.6195,             5.9579e-05,             5.9579e-05,             5.9579e-05
                     15,                 2.8723,                 4.6788,                 2.5786,                      0,                      0,                      0,                      0,                 2.1566,                 4.7377,                 2.6844,             6.3433e-05,             6.3433e-05,             6.3433e-05
                     16,                 3.3753,                  4.643,                 2.3886,                      0,                      0,                      0,                      0,                 2.1777,                 4.7257,                 2.7044,             6.7183e-05,             6.7183e-05,             6.7183e-05
                     17,                 2.3833,                 4.7628,                 2.8548,                      0,                      0,                      0,                      0,                 2.1678,                 4.7402,                 2.7187,             7.0829e-05,             7.0829e-05,             7.0829e-05
                     18,                 1.6438,                 4.6517,                   3.72,                      0,                      0,                      0,                      0,                 2.1678,                 4.7402,                 2.7187,             7.4371e-05,             7.4371e-05,             7.4371e-05
                     19,                 2.7964,                 4.5025,                  2.029,                      0,                      0,                      0,                      0,                 2.1018,                 4.7534,                 2.6915,             7.7808e-05,             7.7808e-05,             7.7808e-05
                     20,                 2.1793,                 4.4851,                 2.2064,                      0,                      0,                      0,                      0,                 2.1018,                 4.7534,                 2.6915,             8.1141e-05,             8.1141e-05,             8.1141e-05
                     21,                 2.1546,                 4.4586,                 2.5146,                      0,                      0,                      0,                      0,                  2.009,                 4.7854,                 2.6548,              8.437e-05,              8.437e-05,              8.437e-05
                     22,                 3.2567,                 4.4854,                 2.0515,                      0,                      0,                      0,                      0,                  2.009,                 4.7854,                 2.6548,             8.7495e-05,             8.7495e-05,             8.7495e-05
                     23,                 3.0083,                 4.5107,                 2.1702,                      0,                      0,                      0,                      0,                  2.002,                 4.7763,                  2.724,             9.0516e-05,             9.0516e-05,             9.0516e-05
                     24,                 2.6975,                 4.2976,                 1.8134,                      0,                      0,                      0,                      0,                  2.002,                 4.7763,                  2.724,             9.3433e-05,             9.3433e-05,             9.3433e-05
                     25,                   2.02,                 4.6258,                 4.3204,                      0,                      0,                      0,                      0,                 2.0459,                 4.7882,                 2.6748,             9.6245e-05,             9.6245e-05,             9.6245e-05
                     26,                  2.961,                 4.3819,                 2.1705,                      0,                      0,                      0,                      0,                 2.0459,                 4.7882,                 2.6748,             9.8954e-05,             9.8954e-05,             9.8954e-05
                     27,                 2.7858,                  4.388,                 3.0476,                      0,                      0,                      0,                      0,                 2.0591,                 4.7597,                 2.7456,             0.00010156,             0.00010156,             0.00010156
                     28,                 2.4843,                 4.1368,                 1.7143,                      0,                      0,                      0,                      0,                 2.0591,                 4.7597,                 2.7456,             0.00010406,             0.00010406,             0.00010406
                     29,                 2.4141,                 4.1165,                 2.4123,                      0,                      0,                      0,                      0,                 2.0583,                 4.7544,                 2.7668,             0.00010645,             0.00010645,             0.00010645
                     30,                 2.3573,                  4.042,                 3.0496,                      0,                      0,                      0,                      0,                 2.0583,                 4.7544,                 2.7668,             0.00010875,             0.00010875,             0.00010875
                     31,                 2.5458,                 4.1961,                 3.2822,                      0,                      0,                      0,                      0,                 2.0712,                 4.7489,                 2.7555,             0.00011093,             0.00011093,             0.00011093
                     32,                 2.3871,                 4.0942,                 2.1196,                      0,                      0,                      0,                      0,                 2.0712,                 4.7489,                 2.7555,             0.00011302,             0.00011302,             0.00011302
                     33,                 2.3708,                 3.9959,                 2.0393,                      0,                      0,                      0,                      0,                 2.0621,                 4.7576,                 2.7745,               0.000115,               0.000115,               0.000115
                     34,                 2.1835,                 3.7709,                 1.6937,                      0,                      0,                      0,                      0,                 2.0621,                 4.7576,                 2.7745,             0.00011687,             0.00011687,             0.00011687
                     35,                 2.0174,                 3.6871,                 2.8529,                      0,                      0,                      0,                      0,                 2.0709,                 4.7537,                  2.768,             0.00011864,             0.00011864,             0.00011864
                     36,                 2.2873,                 3.5841,                 2.7391,                      0,                      0,                      0,                      0,                 2.0709,                 4.7537,                  2.768,             0.00012031,             0.00012031,             0.00012031
                     37,                  2.737,                 3.8818,                  1.775,                      0,                      0,                      0,                      0,                 2.0683,                 4.7691,                 2.8111,             0.00012187,             0.00012187,             0.00012187
                     38,                 2.4266,                  3.279,                 1.8308,                      0,                      0,                      0,                      0,                 2.0683,                 4.7691,                 2.8111,             0.00012333,             0.00012333,             0.00012333
                     39,                  2.115,                 3.3031,                  2.274,                      0,                      0,                      0,                      0,                 2.0578,                 4.7909,                 2.8206,             0.00012469,             0.00012469,             0.00012469
                     40,                  2.383,                 3.0015,                 1.9748,                      0,                      0,                      0,                      0,                 2.0578,                 4.7909,                 2.8206,             0.00012594,             0.00012594,             0.00012594
                     41,                 2.0235,                 3.1645,                 2.1683,                      0,                      0,                      0,                      0,                  2.054,                 4.7793,                 2.8159,             0.00012708,             0.00012708,             0.00012708
                     42,                 2.3129,                 2.9392,                 1.5059,                      0,                      0,                      0,                      0,                  2.054,                 4.7793,                 2.8159,             0.00012812,             0.00012812,             0.00012812
                     43,                 1.7472,                 2.8902,                 2.4801,                      0,                      0,                      0,                      0,                 1.9871,                 4.8084,                 2.7637,             0.00012906,             0.00012906,             0.00012906
                     44,                  2.143,                 2.8817,                 1.9158,                      0,                      0,                      0,                      0,                 1.9871,                 4.8084,                 2.7637,              0.0001299,              0.0001299,              0.0001299
                     45,                 2.6153,                 2.8494,                 1.9659,                      0,                      0,                      0,                      0,                 1.9745,                 4.8182,                 2.7399,             0.00013062,             0.00013062,             0.00013062
                     46,                 2.1963,                 2.3226,                 2.4792,                      0,                      0,                      0,                      0,                 1.9745,                 4.8182,                 2.7399,             0.00013125,             0.00013125,             0.00013125
                     47,                 1.7527,                 2.4103,                 3.8052,                      0,                      0,                      0,                      0,                 1.9493,                 4.8234,                 2.6984,             0.00013177,             0.00013177,             0.00013177
                     48,                 1.9359,                 2.3863,                 2.0997,                      0,                      0,                      0,                      0,                 1.9493,                 4.8234,                 2.6984,             0.00013219,             0.00013219,             0.00013219
                     49,                 1.8594,                 2.1892,                 2.5932,                      0,                      0,                      0,                      0,                 1.9297,                  4.819,                 2.6742,              0.0001325,              0.0001325,              0.0001325
                     50,                 2.2335,                  2.183,                 1.8087,                      0,                      0,                      0,                      0,                 1.9297,                  4.819,                 2.6742,             0.00013271,             0.00013271,             0.00013271
                     51,                 2.0445,                 2.0932,                  1.555,                      0,                      0,                      0,                      0,                  1.907,                 4.8312,                 2.6304,             0.00013281,             0.00013281,             0.00013281
                     52,                 2.3359,                 2.5733,                 1.9839,                      0,                      0,                      0,                      0,                  1.907,                 4.8312,                 2.6304,             0.00013282,             0.00013282,             0.00013282
                     53,                  1.394,                 3.4759,                 2.0257,                      0,                      0,                      0,                      0,                  1.907,                 4.8312,                 2.6304,             0.00013271,             0.00013271,             0.00013271
                     54,                 2.1928,                 2.2949,                 1.3381,                      0,                      0,                      0,                      0,                 1.9021,                 4.8446,                 2.6466,              0.0001325,              0.0001325,              0.0001325
                     55,                  1.915,                 1.9014,                 2.4379,                      0,                      0,                      0,                      0,                 1.9021,                 4.8446,                 2.6466,             0.00013219,             0.00013219,             0.00013219
                     56,                 1.6915,                 2.7264,                 1.6572,                      0,                      0,                      0,                      0,                 1.9021,                 4.8446,                 2.6466,             0.00013178,             0.00013178,             0.00013178
                     57,                 1.7005,                 2.6248,                 1.8658,                0.01754,                0.11111,                0.01326,                0.00265,                  1.919,                  4.845,                 2.6517,             0.00013126,             0.00013126,             0.00013126
                     58,                 1.5683,                 2.0255,                 3.2647,                0.01754,                0.11111,                0.01326,                0.00265,                  1.919,                  4.845,                 2.6517,             0.00013063,             0.00013063,             0.00013063
                     59,                 1.6739,                 2.6754,                 2.0497,                0.01754,                0.11111,                0.01326,                0.00265,                  1.919,                  4.845,                 2.6517,              0.0001299,              0.0001299,              0.0001299
                     60,                 1.9103,                 1.6972,                 2.0897,                0.01235,                0.11111,                 0.0134,                0.00268,                 1.9793,                 4.8468,                 2.6403,             0.00012907,             0.00012907,             0.00012907
                     61,                 2.0119,                 1.7223,                  2.261,                0.01235,                0.11111,                 0.0134,                0.00268,                 1.9793,                 4.8468,                 2.6403,             0.00012813,             0.00012813,             0.00012813
                     62,                 1.8157,                 2.3837,                 3.3991,                0.01235,                0.11111,                 0.0134,                0.00268,                 1.9793,                 4.8468,                 2.6403,             0.00012709,             0.00012709,             0.00012709
                     63,                 1.8101,                 5.4225,                 2.7389,                0.00855,                0.11111,                  0.014,                 0.0028,                 2.0254,                  4.839,                 2.6699,             0.00012595,             0.00012595,             0.00012595
                     64,                  1.365,                  2.042,                 1.4051,                0.00855,                0.11111,                  0.014,                 0.0028,                 2.0254,                  4.839,                 2.6699,              0.0001247,              0.0001247,              0.0001247
                     65,                 2.0169,                 1.8598,                  1.827,                0.00855,                0.11111,                  0.014,                 0.0028,                 2.0254,                  4.839,                 2.6699,             0.00012334,             0.00012334,             0.00012334
                     66,                 2.2112,                 2.4736,                 1.6173,                0.00794,                0.11111,                0.01504,                0.00301,                 1.9976,                 4.8504,                 2.6213,             0.00012189,             0.00012189,             0.00012189
                     67,                 1.7913,                 1.5526,                 1.4042,                0.00794,                0.11111,                0.01504,                0.00301,                 1.9976,                 4.8504,                 2.6213,             0.00012033,             0.00012033,             0.00012033
                     68,                  2.041,                 1.6882,                 2.1988,                0.00794,                0.11111,                0.01504,                0.00301,                 1.9976,                 4.8504,                 2.6213,             0.00011866,             0.00011866,             0.00011866
                     69,                 1.6505,                 2.3311,                 1.7224,                0.00667,                0.11111,                0.01152,                0.00345,                 2.0081,                 4.8537,                  2.638,             0.00011689,             0.00011689,             0.00011689
                     70,                 1.5002,                 2.5521,                 3.3167,                0.00667,                0.11111,                0.01152,                0.00345,                 2.0081,                 4.8537,                  2.638,             0.00011502,             0.00011502,             0.00011502
                     71,                 1.4681,                 1.7544,                 3.0028,                0.00667,                0.11111,                0.01152,                0.00345,                 2.0081,                 4.8537,                  2.638,             0.00011304,             0.00011304,             0.00011304
                     72,                 1.5431,                 1.5475,                 3.5234,                0.00565,                0.11111,                0.01203,                0.00361,                 2.0191,                 4.8622,                 2.6702,             0.00011095,             0.00011095,             0.00011095
                     73,                 1.8656,                 1.6281,                 2.6198,                0.00565,                0.11111,                0.01203,                0.00361,                 2.0191,                 4.8622,                 2.6702,             0.00010877,             0.00010877,             0.00010877
                     74,                 2.0063,                  2.172,                 2.3984,                0.00565,                0.11111,                0.01203,                0.00361,                 2.0191,                 4.8622,                 2.6702,             0.00010648,             0.00010648,             0.00010648
                     75,                 2.1595,                 1.8904,                  1.853,                0.00565,                0.11111,                0.01428,                0.00428,                 2.0141,                 4.8448,                 2.6909,             0.00010408,             0.00010408,             0.00010408
                     76,                 1.4866,                 1.5618,                 2.1329,                0.00565,                0.11111,                0.01428,                0.00428,                 2.0141,                 4.8448,                 2.6909,             0.00010158,             0.00010158,             0.00010158
                     77,                 2.3615,                  1.674,                  2.081,                0.00565,                0.11111,                0.01428,                0.00428,                 2.0141,                 4.8448,                 2.6909,             9.8981e-05,             9.8981e-05,             9.8981e-05
                     78,                 2.0269,                 1.8322,                 1.2514,                0.00505,                0.11111,                0.01408,                0.00422,                 2.0066,                 4.8515,                 2.6466,             9.6273e-05,             9.6273e-05,             9.6273e-05
                     79,                 1.2238,                 1.9579,                 3.2162,                0.00505,                0.11111,                0.01408,                0.00422,                 2.0066,                 4.8515,                 2.6466,             9.3462e-05,             9.3462e-05,             9.3462e-05
                     80,                 1.3626,                  1.667,                 2.6841,                0.00505,                0.11111,                0.01408,                0.00422,                 2.0066,                 4.8515,                 2.6466,             9.0546e-05,             9.0546e-05,             9.0546e-05
                     81,                 2.3567,                 1.8843,                  1.761,                0.00498,                0.11111,                0.00963,                0.00289,                 1.9877,                 4.8783,                 2.6533,             8.7526e-05,             8.7526e-05,             8.7526e-05
                     82,                 1.8886,                 1.4879,                 1.3098,                0.00498,                0.11111,                0.00963,                0.00289,                 1.9877,                 4.8783,                 2.6533,             8.4402e-05,             8.4402e-05,             8.4402e-05
                     83,                 1.6082,                 1.5253,                 2.0402,                0.00498,                0.11111,                0.00963,                0.00289,                 1.9877,                 4.8783,                 2.6533,             8.1174e-05,             8.1174e-05,             8.1174e-05
                     84,                 1.7983,                 2.0756,                 2.0618,                0.00483,                0.11111,                0.00858,                0.00257,                 1.9751,                 4.8872,                 2.6665,             7.7842e-05,             7.7842e-05,             7.7842e-05
                     85,                 1.7642,                 1.5313,                  2.399,                0.00483,                0.11111,                0.00858,                0.00257,                 1.9751,                 4.8872,                 2.6665,             7.4406e-05,             7.4406e-05,             7.4406e-05
                     86,                  1.894,                 1.7244,                 1.8084,                0.00483,                0.11111,                0.00858,                0.00257,                 1.9751,                 4.8872,                 2.6665,             7.0865e-05,             7.0865e-05,             7.0865e-05
                     87,                 1.9909,                 1.5824,                 1.6207,                0.00483,                0.11111,                0.00858,                0.00257,                 1.9751,                 4.8872,                 2.6665,             6.7221e-05,             6.7221e-05,             6.7221e-05
