                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4309,                 7.5482,                 2.8485,                0.31323,                 0.4293,                0.34486,                0.14702,                 1.6306,                 2.3638,                 1.8636,             0.00066578,             0.00066578,             0.00066578
                      2,                 1.9048,                 2.6162,                 2.1767,                0.40776,                0.56361,                0.45441,                0.20183,                 1.5151,                 5.1437,                 1.7865,              0.0013193,              0.0013193,              0.0013193
                      3,                 1.8264,                 2.2361,                 2.0692,                0.53541,                 0.5631,                0.53687,                0.23484,                 1.5156,                 1.8191,                 1.6488,              0.0019595,              0.0019595,              0.0019595
                      4,                 1.7968,                 2.2124,                 2.0211,                0.39803,                0.44501,                0.34306,                0.15873,                 1.5658,                 6.7664,                 1.7728,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7064,                 1.9639,                 1.9926,                0.54203,                0.61127,                0.55335,                0.24466,                 1.4537,                 1.9682,                 1.5877,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.6883,                 1.8999,                   1.96,                0.58417,                0.67613,                0.64696,                    0.3,                 1.4555,                  1.626,                 1.6079,               0.001901,               0.001901,               0.001901
                      7,                 1.6978,                 1.8477,                 1.9705,                0.56664,                0.65433,                0.60626,                0.29124,                 1.3843,                 1.6847,                 1.5548,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.6593,                 1.7741,                 1.9311,                0.55557,                0.64166,                0.60812,                0.28532,                 1.3614,                 1.8075,                 1.5418,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.6563,                 1.7524,                 1.9327,                0.50004,                0.60517,                0.54937,                0.27921,                 1.3268,                 1.7395,                 1.5282,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.6038,                  1.662,                 1.8885,                0.57995,                0.71921,                0.64601,                0.30237,                 1.3311,                 1.6857,                 1.4994,              0.0018218,              0.0018218,              0.0018218
