epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1310.57,2.05226,4.79477,2.58511,0.61645,0.56442,0.60251,0.28961,1.56127,1.87538,2.01093,0.000666363,0.000666363,0.000666363
2,2627.35,1.68721,1.84446,2.10516,0.54533,0.50549,0.54969,0.27532,1.53917,1.76636,1.95786,0.00131983,0.00131983,0.00131983
3,3997.11,1.6017,1.59153,2.02446,0.66643,0.68977,0.66986,0.34313,1.43814,1.71246,1.89494,0.0019601,0.0019601,0.0019601
4,5389.34,1.58731,1.50154,1.9958,0.74209,0.71393,0.77383,0.40042,1.44115,1.44051,1.83727,0.0019406,0.0019406,0.0019406
5,6753.53,1.54428,1.37906,1.95627,0.76184,0.75575,0.77689,0.41279,1.4566,1.47594,1.84131,0.0019208,0.0019208,0.0019208
6,8124.32,1.49339,1.29802,1.92437,0.66789,0.57041,0.58363,0.33661,1.41848,1.93872,1.8279,0.001901,0.001901,0.001901
7,9605.2,1.46782,1.29556,1.88551,0.80218,0.78404,0.84243,0.47706,1.32164,1.13909,1.75462,0.0018812,0.0018812,0.0018812
8,11045.3,1.4483,1.25167,1.87147,0.73111,0.71147,0.79749,0.45544,1.31707,1.09394,1.76444,0.0018614,0.0018614,0.0018614
9,12461.9,1.44011,1.22385,1.87721,0.8032,0.77633,0.83951,0.48158,1.27963,1.09278,1.72198,0.0018416,0.0018416,0.0018416
10,13871.4,1.39497,1.16753,1.84626,0.7012,0.71531,0.73752,0.41803,1.28601,1.19191,1.74329,0.0018218,0.0018218,0.0018218
11,15284.6,1.39236,1.16573,1.86315,0.79845,0.81628,0.85339,0.49486,1.30026,1.02151,1.72742,0.001802,0.001802,0.001802
12,16722.2,1.39037,1.12856,1.84458,0.76551,0.81472,0.84373,0.48261,1.27471,1.08894,1.72047,0.0017822,0.0017822,0.0017822
13,18101.5,1.36968,1.08706,1.85054,0.8283,0.82085,0.88483,0.5166,1.28492,0.97804,1.70516,0.0017624,0.0017624,0.0017624
