Animal,Adjectives,Colors,Verbs,Animales,Adjectivos,Verbos,Colores,Sustantivos,Animal2
Zebu,TRUE,yellow,Write,Zunzun,viejo,volver,verde,ocho,Zebu
Zebra,FALSE,white,Worry,Zubron,usual,vivir,rosado,obra,Zebra
Zander,zigzag,violet,Win,Zorzal,urbano,ver,rosa,objeto,Zander
Yeti,zesty,tomato,Weigh,Zorro,unido,venir,rojo,nueve,Yeti
Yak,zany,teal,Wave,Zorra,unico,vender,marron,nombre,Yak
Wren,yummy,tan,Wash,Zonuro,ultimo,variar,gris,nivel,Wren
worm,young,silver,Walk,Zigena,tu,usar,color,musica,worm
Wombat,yellow,salmon,Wait,Zifio,triste,tratar,cafe,modo,Wombat
Wolf,yearly,rose,Value,Zerete,suave,traer,blanco,millon,Wolf
Whale,wry,red,Use,zebra,su,tomar,azul,mil,Whale
Weevil,wrong,purple,Twist,Zanclo,solo,tocar,,miedo,Weevil
Weasel,worthy,plum,Turnon,Zanate,social,tener,,meta,Weasel
Wasp,worst,pink,Turn,Zamuro,simple,ser,,mejora,Wasp
Walrus,worse,peach,Trust,Zafiro,serio,sentir,,manera,Walrus
Vole,worn,orange,Trip,Yuhina,salado,seguir,,lugar,Vole
Viper,wordy,olive,Toss,Yetapa,rural,salir,,logro,Viper
Vicuna,woozy,maroon,Tiptoe,Yegua,real,saber,,largo,Vicuna
Vervet,wooden,lime,Throw,Yarara,raro,romper,,imagen,Vervet
Urutu,woeful,jade,Think,Yapok,quinto,reir,,idea,Urutu
Urial,wobbly,ivory,Teach,Yal,propio,quitar,,guerra,Urial
Urchin,witty,indigo,Taste,Yak,primer,querer,,grupo,Urchin
Uakari,wise,green,Talk,Yaguar,pesado,probar,,grado,Uakari
Turtle,wiry,gray,Take,Yaco,otro,poner,,futuro,Turtle
Turkey,winged,gold,Swim,Yacare,nuevo,poder,,fuerza,Turkey
Tuna,windy,cyan,Study,Yaca,mi,pesar,,frente,Tuna
Trout,wilted,coral,Stir,Xerus,menor,pensar,,forma,Trout
Toucan,wild,copper,Steam,Xarda,mayor,pegar,,fondo,Toucan
Toad,wiggly,coffee,Stand,Wombat,manual,pedir,,fisica,Toad
Tiglon,wide,brown,Stack,Weta,malo,patear,,final,Tiglon
Tiger,wicked,bronze,Squat,Wapiti,local,partir,,fin,Tiger
Tick,whole,blush,Spread,Walaro,ligero,oler,,figura,Tick
Thrush,white,blue,Spell,Walabi,lejano,oir,,favor,Thrush
Tern,which,black,Solve,Viuda,junto,odiar,,fase,Tern
Tarpan,wet,beige,Snore,Vison,joven,negar,,falta,Tarpan
Tapir,weird,azure,Smell,Vireon,igual,nacer,,exito,Tapir
Takin,weepy,aqua,Slip,Vireo,grueso,mover,,etapa,Takin
Tahr,weekly,amber,Slice,Vinago,grande,morir,,estilo,Tahr
Swift,wee,,Sleep,Vieja,gran,morder,,espera,Swift
Swan,webbed,,Skip,Vieira,fuerte,medir,,enojo,Swan
Stork,weary,,Sit,Vicuna,frio,llorar,,enfado,Stork
Stoat,weak,,Sing,Vibora,fresco,llevar,,empleo,Stoat
Squid,wavy,,Show,Verdin,firme,llegar,,efecto,Squid
Sponge,watery,,Shoot,Verdel,feliz,leer,,editar,Sponge
Spider,wary,,Shock,Venado,falso,lanzar,,edad,Spider
Sole,warped,,Shame,Varano,facil,jugar,,duda,Sole
Snipe,warm,,Shake,Vanga,editar,ir,,dragon,Snipe
Snake,wan,,Sew,Vaca,duro,hacer,,dos,Snake
Snails,vivid,,Serve,Urutau,dulce,hablar,,don,Snails
Snail,vital,,Send,Urta,decimo,haber,,dolor,Snail
Smelt,violet,,Sell,Urson,debil,faltar,,dios,Smelt
Slugs,vast,,Say,Urraca,dado,evitar,,dinero,Slugs
Slug,vapid,,Saute,Uro,cuarto,estar,,diez,Slug
Sloth,valid,,Run,Urina,comun,entrar,,dibujo,Sloth
Skunks,vain,,Roll,Urial,cierto,dormir,,dia,Skunks
Skunk,vague,,Roast,Uombat,caro,doblar,,deseo,Skunk
Skink,vacant,,Ride,Uapiti,capaz,desear,,decada,Skink
Shrimp,utter,,Repent,Ualaru,calmo,dejar,,dato,Shrimp
Shrew,useful,,Regret,Ualabi,cada,decir,,dama,Shrew
Sheep,used,,Recall,Uacari,bueno,deber,,curso,Sheep
Shark,usable,,Read,Tuza,buen,dar,,cuervo,Shark
Seal,urban,,Reach,Turon,blando,creer,,cuerpo,Seal
Salmon,upset,,Push,Turca,barato,crecer,,cuerda,Salmon
Rook,upbeat,,Punch,Turaco,bajo,crear,,cuenta,Rook
Rodent,unused,,Pull,Tur,amplio,cortar,,cuello,Rodent
Robin,untrue,,Pride,Tupaya,amargo,comer,,cuatro,Robin
Rhino,untidy,,Pour,Tunqui,alto,coger,,cuarto,Rhino
Ray,unsung,,Point,Tucuxi,ajeno,clavar,,cuadro,Ray
Raven,unruly,,Play,Tucan,actual,cerrar,,crisis,Raven
Rat,unripe,,Plan,Trucha,,cantar,,costa,Rat
Rabbit,united,,Pinch,Trogon,,callar,,cosa,Rabbit
Quokka,unique,,Pickup,Triton,,buscar,,corte,Quokka
Quelea,unfit,,Peel,Trips,,beber,,conejo,Quelea
Quail,uneven,,Pass,Trile,,ayudar,,comida,Quail
Python,ugly,,Paint,Tovaca,,atar,,coma,Python
Puma,twin,,Open,Toti,,anadir,,colega,Puma
Puffin,tubby,,Nod,Toro,,amar,,codigo,Puffin
Prawn,trusty,,Need,Torito,,alejar,,club,Prawn
Possum,trim,,Mix,Tordo,,abrir,,clima,Possum
Pony,tricky,,Miss,Toqui,,,,clavo,Pony
Pike,tragic,,Melt,Topo,,,,clase,Pike
Pigeon,tough,,March,Topi,,,,ciudad,Pigeon
Pig,total,,Make,Tonino,,,,cine,Pig
Perch,torn,,Love,Tonina,,,,cinco,Perch
Parrot,tired,,Look,Tomate,,,,ciervo,Parrot
Panda,tiny,,Long,Tollo,,,,ciento,Panda
Ox,tinted,,Listen,Toco,,,,cien,Ox
Owl,timely,,Like,Titira,,,,cielo,Owl
Otter,tight,,Lift,Titi,,,,chino,Otter
Osprey,tidy,,Lick,Titi,,,,cerro,Osprey
Orca,those,,Learn,Tirica,,,,cero,Orca
Ocelot,thorny,,Leap,Tirano,,,,cerdo,Ocelot
Newt,this,,Lean,Tipula,,,,cebada,Newt
Muskox,third,,Layer,Tinosa,,,,causa,Muskox
Mule,thin,,Laugh,Tinamu,,,,caso,Mule
Mouse,thick,,Knit,Timalo,,,,casa,Mouse
Moth,these,,Kneel,Timali,,,,carta,Moth
