Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,470uF 50V,CP_Elec_10x12.5,130.28,-70.525671,180.0,bottom
C10,12pF,C_0805_2012Metric,11.080671,-74.295671,180.0,top
C11,12pF,C_0805_2012Metric,11.040671,-71.715671,180.0,top
C13,0.1uF,C_0805_2012Metric,-50.29,-17.885671,90.0,bottom
C14,0.1uF,C_0805_2012Metric,-8.13,-68.720671,0.0,top
C15,0.1uF,C_0805_2012Metric,8.6,-76.610671,180.0,top
C16,0.1uF,C_0805_2012Metric,8.55,-69.650671,180.0,top
C17,1uF,C_0805_2012Metric,-8.15,-70.720671,0.0,top
C18,0.1uF,C_0805_2012Metric,-10.38,-17.585671,90.0,bottom
C2,0.1uF 50V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,128.47,-60.125671,90.0,top
C3,0.1uF 50V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,130.67,-60.175671,90.0,top
C4,330uF 50V,CP_Elec_10x10,126.63,-42.335671,90.0,bottom
C5,0.1uF 50V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.9,-44.105671,90.0,bottom
C6,1uF,C_0805_2012Metric,23.5,-61.125671,-90.0,top
C7,1uF,C_0805_2012Metric,16.05,-61.135671,-90.0,top
C8,100nF,C_0805_2012Metric,18.17,-65.775671,-90.0,top
C9,0.1uF,C_0805_2012Metric,8.59,-78.700671,180.0,top
D1,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,-66.5,10.059329,-90.0,top
D10,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,125.515,-13.765671,180.0,top
D11,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,142.400164,2.557452,180.0,top
D12,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,137.424999,-97.741981,180.0,top
D13,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,58.385,18.279328,180.0,top
D14,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,43.637499,-71.859733,0.0,top
D15,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,149.394999,22.924329,180.0,top
D16,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,94.5525,-55.765671,180.0,top
D17,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,-11.605001,-31.736097,180.0,top
D18,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,156.324999,-22.765671,180.0,top
D19,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,88.372006,-95.59067,90.0,top
D2,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,-69.649999,-69.75567,90.0,top
D20,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,88.637501,7.23433,0.0,top
D21,LED,LED_0805_2012Metric,-7.567143,-56.688171,-90.0,top
D22,LED,LED_0805_2012Metric,-11.057143,-56.698171,-90.0,top
D23,LED,LED_0805_2012Metric,11.572857,-56.668171,-90.0,top
D24,LED,LED_0805_2012Metric,8.332857,-56.688171,-90.0,top
D25,LED,LED_0805_2012Metric,5.072857,-56.688171,-90.0,top
D26,LED,LED_0805_2012Metric,2.052857,-56.688171,-90.0,top
D27,LED,LED_0805_2012Metric,-1.037143,-56.688171,-90.0,top
D28,LED,LED_0805_2012Metric,-4.067143,-56.688171,-90.0,top
D29,ESD12VD3B-TP,D_SOD-323,67.51,9.314329,0.0,bottom
D3,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,81.4525,-24.765671,180.0,top
D30,ESD12VD3B-TP,D_SOD-323,-5.21,26.851829,270.0,bottom
D31,ESD12VD3B-TP,D_SOD-323,29.49,30.494329,270.0,bottom
D33,IN-PI33TBTPRPGPB,LED_IN-PI33TBTPRPGPB,-9.0575,-74.935671,180.0,top
D36,ESD12VD3B-TP,D_SOD-323,107.18,-31.323171,90.0,bottom
D4,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,-67.5,-25.940671,-90.0,top
D5,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,-1.514999,-98.665671,0.0,top
D6,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,-47.425479,-98.315671,0.0,top
D7,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,9.797498,-3.765671,0.0,top
D8,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,-41.278208,2.434328,0.0,top
D9,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,-36.502498,-69.765671,0.0,top
E1,BZT52Bxx,D_SOD-123F,146.1,-69.225671,180.0,bottom
E2,SMBJ36A,D_SMB,147.82,-83.995671,-90.0,top
E3,ESD5V0D3B,D_SOD-323,104.61,-48.055671,0.0,bottom
E4,SK54C,DIO_SK54C,146.98,-40.993171,90.0,top
J2,TYPE-C-31-M-17,TYPEC31M17,107.21,-53.740671,0.0,bottom
J4,GPS Header,Untitled,-23.458416,-15.449913,180.0,bottom
J5,Conn_01x05_Pin,PinHeader_1x05_P2.54mm_Vertical,-52.5,20.694329,180.0,bottom
J7,DC Power Jack,BarrelJack_GCT_DCJ200-10-A_Horizontal,95.75,-39.615671,0.0,bottom
L1,5A 47uH,L_Chilisin_BMRG00131360,134.3,-44.423171,180.0,top
Q1,IRF9540N,TO-220-3_Vertical,134.96,-91.765671,0.0,bottom
Q10,BC817,SOT-23,121.88,-32.113171,0.0,bottom
Q11,BC817,SOT-23,15.49,31.214329,180.0,bottom
Q2,"TJ10S04M3L,LXHQ",TO-252-2,109.65,-42.835671,0.0,bottom
Q3,BC817,SOT-23,118.55,-40.205671,0.0,bottom
Q4,"TJ10S04M3L,LXHQ",TO-252-2,42.06,3.516829,180.0,top
Q5,"TJ10S04M3L,LXHQ",TO-252-2,114.86,-3.108171,0.0,top
Q6,BC817,SOT-23,52.87,4.751829,180.0,top
Q7,BC817,SOT-23,109.73,2.756829,0.0,top
Q8,BC817,SOT-23,69.685,-5.155671,90.0,bottom
Q9,BC817,SOT-23,9.05,24.566829,0.0,bottom
R1,10k,R_0805_2012Metric,117.61,-44.235671,270.0,bottom
R10,1k,R_0805_2012Metric,8.36,-60.845671,90.0,top
R11,10K,R_0805_2012Metric,1.850671,-79.025671,-90.0,top
R12,1k,R_0805_2012Metric,5.108571,-60.845671,90.0,top
R13,1k,R_0805_2012Metric,2.064762,-60.845671,90.0,top
R14,1k,R_0805_2012Metric,-1.049047,-60.845671,90.0,top
R15,1k,R_0805_2012Metric,-4.06381,-60.845671,90.0,top
R16,10k,R_0805_2012Metric,-41.25,16.074329,90.0,bottom
R17,10k,R_0805_2012Metric,-36.11,16.074329,90.0,bottom
R18,10k,R_0805_2012Metric,-31.01,16.074329,90.0,bottom
R19,10k,R_0805_2012Metric,-20.84,16.074329,90.0,bottom
R2,1k,R_0805_2012Metric,118.61,-37.065671,0.0,bottom
R20,10k,R_0805_2012Metric,-56.61,-33.268909,0.0,bottom
R21,10k,R_0805_2012Metric,-56.61,-28.055671,0.0,bottom
R22,10k,R_0805_2012Metric,-56.61,-3.565671,0.0,bottom
R23,10k,R_0805_2012Metric,-56.61,1.674329,0.0,bottom
R24,10k,R_0805_2012Metric,-56.61,6.634329,0.0,bottom
R25,10k,R_0805_2012Metric,-56.61,-20.575671,0.0,bottom
R26,10k,R_0805_2012Metric,-56.61,-15.485671,0.0,bottom
R27,10k,R_0805_2012Metric,-56.61,-10.455671,0.0,bottom
R28,10k,R_0805_2012Metric,-43.77,16.074329,90.0,bottom
R29,10k,R_0805_2012Metric,-38.68,16.074329,90.0,bottom
