Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Attractor,HDR-TH_4P-P2.54-H-M-W10.4,66.325,28.234329,-90.0,top
A2,Attractor,HDR-TH_4P-P2.54-H-M-W10.4,119.325,28.234329,-90.0,top
A3,Attractor,HDR-TH_4P-P2.54-H-M-W10.4,-27.675,28.234329,-90.0,top
C1,470uF 50V,CP_Elec_10x12.5,154.5,-75.765671,90.0,bottom
C16,0.1uF,C_0805_2012Metric,81.0,-7.265671,90.0,bottom
C17,0.1uF,C_0805_2012Metric,86.5,-8.265671,0.0,bottom
C2,0.1uF 50V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.5,-99.803171,270.0,bottom
C3,0.1uF 50V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,136.5,-80.265671,90.0,bottom
C4,330uF 50V,CP_Elec_10x10,117.5,-32.265671,90.0,bottom
C5,0.1uF 50V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,136.5,-70.265671,270.0,bottom
C6,0.1µF,C0603,150.0,-83.265671,270.0,bottom
D30,ESD12VD3B-TP,D_SOD-323,157.0,3.734329,0.0,top
D31,ESD12VD3B-TP,D_SOD-323,90.0,34.234329,180.0,top
D32,ESD12VD3B-TP,D_SOD-323,-3.0,34.734329,180.0,top
D33,ESD12VD3B-TP,D_SOD-323,148.0775,-3.695671,0.0,top
E3,SK54C,SMC_L6.9-W5.9-LS8.0-RD,129.5,-66.765671,180.0,bottom
F2,Polyfuse,F0805,138.0,-83.765671,0.0,bottom
H9,GPS 4 pin 2.54-1*4P母,GPS4pin_HDR-TH_4P-P2.54-V-F,90.5,-24.315671,180.0,bottom
L1,5A 47uH,L_Chilisin_BMRG00131360,117.5,-49.265671,90.0,bottom
LED1,XL-2835UWC-02,LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,-31.0,-94.528171,-90.0,top
LED10,XL-2835UWC-02,LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,125.5,-3.528171,-90.0,top
