Comment,Designator,Footprint,LCSC,Quantity
3.3K,R5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C114531,1
"TJ10S04M3L,LXHQ","Q2,Q4,Q5",TO-252-2,C115837,3
12pF,"C10,C11",C_0805_2012Metric,C1792,2
Days,"SW2,SW5",SW_DS04-254-2-07BK-SMT,C18198129,2
IRF9335TRPBF,"U10,U11,U8,U9",SOIC-8_3.9x4.9mm_P1.27mm,C23931,4
IRF9540N,Q1,TO-220-3_Vertical,C2575,1
330uF 50V,C4,CP_Elec_10x10,C2687701,1
1uF,"C17,C6,C7",C_0805_2012Metric,C28323,3
TYPE-C-31-M-17,J2,TYPEC31M17,C283540,1
SMBJ36A,E2,D_SMB,C2848704,1
170R,"R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,RJ1",R_2512_6332Metric,C2934094,21
0.1uF 50V,"C2,C3,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C2976900,3
SW_Push,SW1,SW_TS-1187A-B-A-B,C318884,1
Sequence+Toggle,SW4,SW_DS04-254-2-04BK-SMT,C319038,1
Power,SW3,SW_DS04-254-2-03BK-SMT,C319040,1
DC Power Jack,J7,BarrelJack_GCT_DCJ200-10-A_Horizontal,C319099,1
BZT52Bxx,E1,D_SOD-123F,C362312,1
LED,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D3,D4,D5,D6,D7,D8,D9",LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,C385305,20
BC817,"Q10,Q11,Q3,Q6,Q7,Q8,Q9",SOT-23,C39828,7
9V-36V to 12V 5A 60W,U2,TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm,C424682,1
ESD12VD3B-TP,"D29,D30,D31,D36",D_SOD-323,C435886,4
ESD5V0D3B,E3,D_SOD-323,C484322,1
TLV75733PDBVR,U6,SOT95P280X145-5N,C485517,1
CD74HC4067M96E4,"U12,U13",SOIC127P1030X265-24N,C496123,2
Attractor,"A1,A2,A3",attractor,C49661,3
0.1uF,"C13,C14,C15,C16,C18,C8,C9",C_0805_2012Metric,C49678,7
5A 47uH,L1,L_Chilisin_BMRG00131360,C497913,1
XL4015,U1,CONV_XL4015,C51661,1
Screw_Terminal_01x02,J1,TerminalBlock_RND_205-00023_1x02_P10.00mm_Horizontal,C5168775,1
IN-PI33TBTPRPGPB,D33,LED_IN-PI33TBTPRPGPB,C527089,1
7A Fuse,F1,Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal,C5381734,1
SK54C,E4,DIO_SK54C,C5449119,1
LED,"D21,D22,D23,D24,D25,D26,D27,D28",LED_0805_2012Metric,C5875740,8
GPS Header,"J4,J5",Untitled,C6332198,2
10k,"R1,R11,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R3,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R4,R40,R41,R42,R51,R52,R6,R77,R78,R79,R82",R_0805_2012Metric,C84376,38
Hours,SW6,SW_DS04-254-2-06BK-SMT,C880354,1
470uF 50V,C1,CP_Elec_10x12.5,C90272,1
STM32L031K6Tx,U5,LQFP-32_7x7mm_P0.8mm,C94085,1
1k,"R10,R12,R13,R14,R15,R2,R53,R54,R7,R75,R76,R8,R80,R81,R9",R_0805_2012Metric,C95781,15
32.768kHz,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C99010,1
DNP,,R_0805_2012Metric,,0
DNP,,R_0805_2012Metric,,0
DNP,,R_0805_2012Metric,,0
DNP,,R_0805_2012Metric,,0
DNP,,R_0805_2012Metric,,0
DNP,,R_0805_2012Metric,,0
DNP,,R_0805_2012Metric,,0
DNP,,R_0805_2012Metric,,0
