W/15335340AA350	D4	115	-63.104400634765625	90	W/15335340AA350
W/15335339AA350	D3	115	-55.104400634765625	90	W/15335339AA350
W/15335339AA350	D2	114.97460174560547	-47.104400634765625	90	W/15335339AA350
W/15335337AA350	D1	114.97460174560547	-39.104400634765625	90	W/15335337AA350
DNP	TP8	111.63300323486328	-65.70980072021484	0	DNP
DNP	TP6	111.55680084228516	-57.150001525878906	0	DNP
DNP	TP4	111.65840148925781	-47.3202018737793	0	DNP
DNP	TP2	111.53140258789063	-41.24959945678711	0	DNP
DNP	TP7	114.98580169677734	-58.77560043334961	0	DNP
DNP	TP1	107.8738021850586	-48.97119903564453	0	DNP
DNP	TP3	114.97460174560547	-43.104400634765625	0	DNP
DNP	TP5	107.92459869384766	-53.34000015258789	0	DNP
W/172946001	U1	110.74400329589844	-87.50299835205078	270	W/172946001
YAGEO/RC1206JR-070RL	R1	107.31500244140625	-77.34300231933594	0	YAGEO/RC1206JR-070RL
W/742792097	FB1	109.42320251464844	-68.47840118408203	180	W/742792097
DNP	R2	110.61699676513672	-77.7239990234375	0	DNP
SCHURTER/3413.0216.22	F1	122.60579681396484	-91.6686019897461	0	SCHURTER/3413.0216.22
DNP	FID1	121.56439971923828	-76.91120147705078	0	DNP
DNP	FID2	111.17579650878906	-35.58539962768555	0	DNP
DNP	FID3	109.65180206298828	-94.66580200195313	0	DNP
NEXPERIA/PMEG6010CEH,115	D5	123.44400024414063	-86.48999786376953	270	NEXPERIA/PMEG6010CEH,115
W/885012209048	C1	118.08460235595703	-81.81520080566406	270	W/885012209048
W/885012209048	C2	121.41200256347656	-81.78800201416016	270	W/885012209048
W/885012209048	C3	109.98200225830078	-71.24700164794922	180	W/885012209048
W/885012209048	C4	109.95659637451172	-74.54900360107422	180	W/885012209048
W/885012207128	C5	114.93499755859375	-70.35800170898438	90	W/885012207128
TC/2834171-3	J6	119.68479919433594	-72.33920288085938	180	TC/2834171-3
TC/2834171-3	J4	119.6594009399414	-69.46900177001953	180	TC/2834171-3
TC/2834171-3	J5	116.1011962890625	-35.25519943237305	0	TC/2834171-3
TC/2834171-3	J2	115.51920318603516	-96.19999694824219	90	TC/2834171-3
TC/2834171-3	J8	112.82679748535156	-96.19999694824219	90	TC/2834171-3
TC/2834171-3	J3	106.47679901123047	-96.19999694824219	90	TC/2834171-3
TC/2834171-3	J1	122.4280014038086	-96.19999694824219	90	TC/2834171-3
TC/2834171-3	J7	119.81179809570313	-96.19999694824219	90	TC/2834171-3
